strasse;strassen_bez;herkunft;beschluss;gueltig_ab
1123;Brüdergasse;"Kloster und Kirche der Minoriten oder Minderbrüder (gegründet ca. 1275). Die ehemalige Minoritenkirche heißt heute Remigiuskirche, weil sie die Funktion der alten abgebrochenen Pfarrkirche St. Remigius (am Remigiusplatz) übernommen hat.";;
1012;Alfred-Bucherer-Straße;"Alfred Bucherer (1863-1927), Physiker, Professor an der Universität Bonn, Wohltäter der Stadt Bonn während des Ersten Weltkrieges und  Vorkämpfer für die Befreiung der Kriegsgefangenen.";1937-06-01;
1163;Petra-Kelly-Allee;"Petra Karin Kelly (1947-1992), Politikerin, Mitbegründerin der Partei DIE GRÜNEN, Mitglied des Bundestages 1983-1990, Alternativer Friedensnobelpreis 1982";2006-04-25;
4225;"Am Spielplatz";"Nach dem dort in der Nähe sich befindlichen Spielplatz für Kinder.";1974-06-11;1978-01-01
1072;Adenauerallee;"Konrad Adenauer (1876-1967), Politiker, Oberbürgermeister von Köln 1917-1933, erster deutscher Bundeskanzler 1949-1963.";1967-04-22;1967-04-25
2458;Yorckstraße;"Hans Graf von Yorck (1759-1830), preußischer General.";1911-11-17;
1716;Steinweg;"Alte Römerstraße nach Trier.";1904-07-15;
1824;Winzerstraße;"Verweist auf den früher in Dottendorf betriebenen Weinbau.";1904-07-15;
4630;Neißestraße;"Deutscher Name für mehrere Flüsse in Deutschland und Polen.";1962-08-20;
4207;"Dresdener Straße";"Dresden, Stadt in Sachsen.";1964-03-19;
2440;Hubertinumshof;"Hubertinum hieß die Vorgängerschule des heutigen Aloisiuskollegs.";1986-11-18;
3746;Lupinenweg;;;
1589;Obernierstraße;"Franz Obernier (1839-1882), Mediziner, Kunstsammler und Namensgeber für das städtische Museum, hinterließ seine Villa und seine Sammlung der Stadt Bonn.";;
1821;Wilhelmstraße;"Prinz Wilhelm von Preußen (1797-1888), später König Wilhelm I. von Preußen 1861-1888 und Kaiser Wilhelm I. des Deutschen Reiches 1871-1888";1830-09-14;
4610;Ligusterweg;;1972-12-19;
3077;Burbankstraße;"Burbank ist eine Bauernbank, die Bank, auf der die Geburen (Dorfvorsteher) beim Geding saßen. Sie waren die Vertreter der Honschaft Müllendorf, die in der Landbeschreibung von 1660 belegt ist.";;
1404;Josef-Schell-Straße;"Josef Schell (1892-1967), Pfarrer in Endenich 1946-1954.";1974-10-22;1974-12-13
3286;Kirchfeldstraße;"Flurname. Feldstücke, die der Kirche gehörten.";1963-11-06;
1692;Kollegienweg;"Nach dem Studienkollegs-Seminar St. Ludwig.";1974-10-22;1978-01-01
2008;Amalienhöhe;;1969-06-11;
1688;Schaaffhausenstraße;"Hermann Schaaffhausen (1816-1893), Anthropologe, Mitbegründer des heutigen LVR-Landesmuseums Bonn.";1954-10-28;
4214;"Buschdorfer Straße";"Buschdorf, Ortsteil von Bonn.";1972-12-19;
2396;Stephan-Lochner-Straße;"Stephan Lochner (1410-1451), Maler.";1959-11-30;
2028;"Am Winkel";Flurname.;1935-05-09;
1551;Mozartstraße;"Wolfgang Amadeus Mozart (1756 -1791), Komponist.";1886-09-24;
2345;Römerplatz;"lage an der alten römischen Heerstraße.";1911-07-07;
4366;Von-Hompesch-Straße;"Ferdinand von Hompesch (1744-1805), erster und einziger deutscher Großmeister des Malteser-Ordens 1797-1799.";1974-02-12;1974-03-22
1265;Geißlerstraße;"Heinrich Geißler (1815-1879), Physiker, Erfinder der nach ihm benannten Röhren.";1951-02-09;
3348;"Meindorfer Straße";"Meindorf, Stadtteil von St. Augustin.";;
4046;"Im Wolfsgraben";"Flurname. Wolfsgraben als Fanggrube für Wölfe.";1972-12-19;
1262;Gangolfstraße;"Der hl. Gangolf (gestorben 760), Heiliger, Patron der zu Beginn des 19. Jahrhunderts aufgegebenen Bonner Pfarrkirche, gelegen vor dem Westchor des Münsters.";1908-08-07;
2426;Viktor-Schnitzler-Straße;"Viktor Schnitzler (1862-1934), Rechtsanwalt, Mitglied des preußischen Abgeordnetenhauses, Gründer des Drachensteinparks in Mehlem.";1930-11-28;
2485;"An der Kelter";"Verweist auf das in der Gringsstraße stehende Kelterhaus.";1990-01-30;1990-02-09
1488;"Liegnitzer Straße";"Liegnitz, Stadt in Niederschlesien an der Katzbach, heute Legnica in Polen.";1959-03-13;
3864;"Kasseler Ley";"Felspartie oberhalb Oberkassels. Ley bezeichnet Schiefer.";1992-02-11;
1052;"An der Immenburg";"Immenburg, erbaut 1879 durch Major Ferdinand Flinsach, zuletzt  im Besitz der Familie Bucherer, im Zweiten Weltkrieg zerstört.";;
4071;Henriettenstraße;;1977-03-24;1978-01-01
1829;Wolterstraße;"Friedrich Wilhelm Franz Wolter (1838-1911), Pfarrer an St. Nikolaus in Kessenich.";1912-05-12;1912-05-24
3424;Platanenweg;;1955-04-18;
4324;Weilbergstraße;"Weilberg, Berg im Siebengebirge.";1975-03-11;1978-01-01
4090;Heinrich-Dittmaier-Straße;"Heinrich Dittmaier (1907-1970), Philologe, u.a. Mitarbeiter am Rheinischen Wörterbuch.";1989-05-09;
4008;"Auf der Heide";Flurname.;;
1617;Pleimesstraße;"Matthias Johannes Josef Pleimes (1836-1900), Pfarrer in Dottendorf 1870-1900, Erbauer der Quirinus-Kirche.";1931-11-07;
4240;"Stralsunder Weg";"Stralsund, Stadt in Mecklenburg-Vorpommern.";1981-07-14;
2265;Lyngsbergstraße;"Der Lyngsberg ist ein Basaltkegel zwischen Muffendorf und Lanndesdorf.";;
3718;"Am Weiher";"Nach dem in unmittelbarer Nähe dieser Straße liegenden Weiher.";;
1371;"Im Tannenbusch";"Tannenbusch, Ortsteil von Bonn.";;
2201;"In der Maar";Flurname.;1926-02-05;
1822;Windeckstraße;"Johann Martin Josef Windeck (1765-1839), Oberbürgermeister von Bonn 1817-1839.";1908-09-18;
1168;Doetschstraße;"Jakob Doetsch (1831-1895), Oberbürgermeister von Bonn 1875-1891.";1904-07-15;
1167;Diezstraße;"Friedrich Christian Diez (1794-1876), Romanist, Professor an der Universität Bonn.";1896-07-08;
2489;Peter-Hensen-Straße;"Peter Hensen (1888-1958), Schriftleiter der Godesberger Volkszeitung, Mitglied des preußischen Landtages 1928-1933 (Zentrum) und des nordrhein-westfälischen Landtages 1947-1950 (CDU).";1990-11-06;
1066;"Auf dem Huckstein";Flurname.;;
1610;Perthesanlage;"Clemens Theodor Perthes (1809-1867), Rechtswissenschaftler, Professor an der Universität Bonn, Begründer der Herberge zur Heimat 1854 In der Sürst.";1929-10-12;
4031;"Im Schmalzacker";"Flurname. Wahrscheinlich Mastweide für Schweine, in rheinischen Weistümern auch als Schmalzweid bezeichnet.";1977-05-03;1977-12-16
2328;Promenadenweg;;1901-12-06;
2339;"Rhöndorfer Straße";"Rhöndorf, Stadtteil von Bad Honnef.";1964-11-23;
2505;De-Brezé-Straße;"De Brezé, französischer Kommandant, der im Jahre 1688 von Deserteuren ermordet wurde und dem mit dem Rude Krüzche (Wegekreuz an der Bachemer Straße zwischen Mehlem und Bachem) gedacht wird.";;
2169;Heisterbachstraße;"Heisterbach, Kloster im Siebengebirge";1899-09-15;
3836;Kinkelstraße;"Johann Gottfried Kinkel (1815-1882), evangelischer Theologe und Politiker, Professor an der Universität Bonn, geboren in Oberkassel. Revolutionär von 1848/49, durch Carl Schurz 1850 aus der Festungshaft befreit. Ehemann von Johanna Kinkel.";1896-11-30;
4815;Dompfaffenweg;"Der Name bezieht sich auf den Weg, den der Pfarrer von St. Laurentius zur Nachbargemeinde nach Gielsdorf ging.";1976-04-01;1978-01-01
4617;Gierolstraße;"Flurname Auf dem Gierolsortt.";1944-02-24;
3285;Käthe-Kollwitz-Straße;"Käthe Kollwitz (1867-1945), Malerin, Graphikerin und Bildhauerin.";2003-01-29;
4467;Rochusplatz;"Der hl. Rochus, Kirchenpatron in Duisdorf.";1945-04-11;
1509;"Wiener Straße";"Wien, Hauptstadt von Österreich.";1996-04-23;1996-06-15
2381;Siegstraße;"Sieg, rechter Nebenfluss des Rheins.";1950-05-25;
1850;Ennemoserstraße;"Josef Ennemoser (1787-1854), Anthropologe, Professor an der Universität Bonn.";2000-06-21;2001-01-01
3807;"Am Weißen Stein";Flurname.;1962-05-11;
3862;Paffelsbergplatz;"Paffelsberg, Berg im Stadtbezirk Beuel und höchster Punkt Bonns (194,8 m über NN).";1992-02-11;
4233;"Brieger Weg";"Brieg, Stadt in Schlesien, heute Brzeg in Polen.";1975-01-14;1975-02-21
3382;Neustraße;"Die Neustraße zählt zu den ersten Straßen, die aufgrund des 1894 erstellten Fluchtlinienplans gebaut wurde.";;
2132;Galileistraße;"Galileo Galilei (1564-1642), italienischer Physiker und Astronom.";1959-03-06;
2035;Annettenstraße;"Annette von Droste-Hülshoff (1797-1848), Dichterin, wohnte längere Zeit auf dem Auerhof in Plittersdorf.";1927-09-09;
1436;Hospitalweg;"Weg zum Marienhospital.";1972-12-19;
1013;"Berliner Platz";;1977-05-03;1978-01-01
2054;Behringstraße;"Emil von Behring (1854 -1917), Mediziner, entdeckte ein wirkungsvolles Serum gegen die Diphtherie.";1956-11-30;1957-01-22
1365;"Im Erlenbusch";Flurname.;1958-11-06;
4752;"Im Rebgarten";Flurname.;1977-03-24;1978-01-01
4047;"Auf dem Rabenplatz";Flurname.;1982-12-14;
2258;Lindenallee;;;
1485;Lerchenweg;;1951-02-09;
3055;"Am Karmelkloster";"Benannt nach dem ehemaligen Kloster der Karmeliter im 17. und 18. Jahrhundert, das an dieser Stelle stand bzw. dem der Karmelitinnen, die von 1916 bis 1998 dort einen Konvent besaßen.";2003-09-25;
1106;Bodelschwinghweg;"Friedrich von Bodelschwingh (1831-1910), evangelischer Pastor, Begründer der Heilanstalt Bethel bei Bielefeld.";1959-01-08;
3802;"Am Johannisberg";Flurname.;1954-10-01;
1424;Kasernenstraße;"Nach den Kasernen der kurfürstlichen Truppen.";;
3297;Kreuzstraße;"Die Straße hat ihren Namen nicht von dem Wegekreuz, das am katholischen Friedhof steht. Das Kreuz ist erst in den 1950er Jahren nach hier versetzt worden.";;
2497;Brunnenplatz;;1996-06-25;
1696;"Schleidener Straße";"Schleiden, Stadt in der Eifel.";1938-08-13;
3833;"In der Proffe";"Flurname. Erinnert an den in dieser Gegend ehemals blühenden Weinanbau: Proffe ist die rheinische Form für das mittelhochdeutsche Wort Propfen.";1962-05-11;
4360;Ossietzkystraße;"Carl von Ossietzky (1889-1938), Publizist, Friedensnobelpreis 1935, starb an den Folgen seiner KZ-Haft.";1965-05-21;
2300;Nahestraße;"Nahe, linker Nebenfluss des Rheins.";1955-01-21;
1637;Rathausgasse;"Straße entlang der Rückseite des Alten Rathauses.";;1899-04-01
2515;"Godesberger Hof";"Auf dem Grundstück Basteistraße 70 befand sich bis in die 1950er Jahre hinein das Hotel Godesberger Hof.";2007-05-31;
2334;Rheinallee;"Die Straße führt zum Rhein.";1889-04-23;
4228;Ulmenweg;;1973-03-20;1973-04-24
2457;Wurzerstraße;"Ferdinand Wurzer (1765-1844), Chemiker, kurfürstlicher Hofrat und Professor an der alten Bonner Universität.";1904-06-07;
2262;Lützowstraße;"Ludwig Adolf Wilhelm von Lützow (1782-1834), preußischer General.";1936-12-03;
3712;"Am Hang";Flurname.;;
3839;"Am Buschhof";"Der Buschhof war ein alter bischöflicher Gutshof.";1977-03-24;1978-01-01
2267;"Mainzer Straße";;1935-05-09;
4769;Goddardstraße;"Robert Hutchins Goddard (1882-1945), amerikanischer Physiker.";1982-07-06;
1438;Kölnstraße;;;
2452;Winterstraße;"Hermann Joseph Winter (1847-1929), war seit 1870 Seelsorger, zuletzt Dechant, an St. Marien in Godesberg.";1920-09-24;
4449;"Villemombler Straße";"Villemomble, Stadt in Frankreich, Partnerstadt von Duisdorf seit 1967.";1971-06-08;
4453;Leuschnerstraße;"Wilhelm Leuschner (1888-1944), Holzbildhauer und sozialdemokratischer Politiker, als Widerstandskämpfer des 20. Juli 1944 hingerichtet.";1965-05-21;
1755;"Euskirchener Bahnweg";"Euskirchen, Kreisstadt westlich von Bonn.";1996-12-17;
1085;Bataverweg;"Bataver, germanischer Stamm an der Rheinmündung.";1929-10-18;1929-10-18
1344;Loki-Schmidt-Platz;"Loki Schmidt(03.03.1919 Hamburg - 21.10.2010 ebenda)
Hannelore ""Loki"" Schmidt, geborene Glaser, war Pädagogin und die Ehefrau des ehemaligen Bundeskanzlers Helmut Schmidt, die sich durch ihre Leidenschaft für Biologie und Natur auch als Botanikerin, Natur- und Pflanzenschützerin betätigte. 
";2021-09-08;2021-10-08
3379;"Niederkasseler Straße";"Niederkassel, Stadt nordöstlich von Bonn.";1990-03-27;
1456;"Kreuzberger Allee";;;
2384;Sonnenhag;;1967-03-17;
3842;Adolf-Hombitzer-Straße;"Adolf Hombitzer (1887-1960), Gymnasiallehrer, Heimatforscher.";1977-03-24;1978-01-01
4812;Karl-Wiltberger-Straße;"Karl Wiltberger (1876-1954), Oberpfarrer, seit 1902 Gesanglehrer am Collegium Albertinum.";;1962-01-01
1722;Stiftsgasse;"Nach dem ehemaligen vor 1015 gegründeten Frauenkloster Dietkirchen, das später in ein Damenstift umgewandelt wurde (aufgehoben 1802).";;
4624;"Im Eichholz";"Ehemaliger Siedlungsplatz Eichholz am Kreuzberghang.";1958-07-24;
1328;Hermann-Milde-Straße;"Hermann Milde (1890-1939), Kaplan in Kessenich.";1953-02-05;
3743;Bergmeisterstück;Flurname;1982-01-26;
1416;Kaiserplatz;;1874-12-23;
1232;Füssenichgasse;"Alte Kessenicher Familie, zurückgehend bis ins Jahr 1875.";1984-12-12;1984-12-28
1427;Kekuléstraße;"August Kekulé von Stradonitz (1829 -1896), Chemiker, Professor an der Universität Bonn.";;
1058;Sigmund-Freud-Straße;"Sigmund Freud (1856-1939), Nervenarzt, begründete die Psychoanalyse.";1974-10-22;1978-01-01
1516;Mackestraße;"August Macke (1887 -1914), Maler des Expressionismus, Schüler von Lowis Corinth, 1900 war die Familie nach Bonn gezogen.";1951-02-09;
1662;"Am Rheindorfer Ufer";;2002-09-19;2002-11-27
1431;Kiefernweg;"Benannt nach den Kiefern des Venusberges.";1935-01-08;
3291;"Königswinterer Straße";"Königswinter, Stadt südöstlich von Bonn.";1955-04-18;
2184;"Im Apfelgarten";"Der Name erinnert an den Obstanbau in Muffendorf.";1964-04-28;
1638;Rathenauufer;"Walther Rathenau (1867-1922), Politiker, Reichsminister für den Wiederaufbau 1921, Außenminister 1922, fiel einem Attentat rechtsradikaler Kreise zum Opfer.";1952-10-10;
1222;Emilie-Heyermann-Weg;"Emilie Heyermann (1868-1944), Lehrerin, leitete die Bonner Mädchen-Mittelschule und das private Lyzeum Heyermann.";2010-11-30;2010-12-29
2052;Bahnstraße;"Diese Straße führt entlang der Bahngleise in Richtung - ehemaliger - Güterbahnhof Bad Godesberg. Die frühere Verbindung bis zur Annaberger Straße wurde am 13.09.1995 aufgehoben, das Teilstück Martin-Luther-Allee genannt.";1933-07-07;
4486;Weißstraße;;1900-11-12;
3356;Michael-Piel-Straße;"Michael Piel (1877-1953), Lehrer an der katholischen Volksschule St. Josef, Schulleiter 1923-1927, Begründer und Direktor der Berufsschule Beuel 1927-1946.";1989-04-25;
4257;Carlo-Mense-Straße;"Carlo Mense (1886-1965), Maler, Mitbegründer der Künstlergruppe Bonn.";1985-01-29;1985-02-08
2366;Schopenhauerstraße;"Arthur Schopenhauer (1788-1860), Philosoph.";1969-06-11;
3084;"Auf dem Bachfeld";"Grundstück in der Nähe des Vilicher Bachs.";1978-11-23;
3150;Eulaliastraße;"M. Eulalia Kipping (1877-1968), Ordensschwester im Cellitinnen-Kloster St. Adelheidis-Stift Vilich, Verdienste um die häusliche Krankenpflege.";2006-01-31;
1557;Masurenweg;"Masuren, eine Landschaft im Süden Ostpreußens.";1971-06-24;1971-08-09
3171;Friedrich-Friesen-Straße;"Friedrich Friesen (1794-1814), Begründer der deutschen Turnbewegung, zusammen mit Friedrich Ludwig Jahn.";;
1014;"Alter Fahrweg";Flurname.;;
3504;"Siegburger Straße";"Siegburg, Kreisstadt östlich von Bonn.";;
1461;Kolpingstraße;"Adolf Kolping (1813-1865), katholischer Geistlicher, gründete 1846 in Elberfeld den ersten Katholischen Gesellenverein.";1966-07-14;
1231;Florentiusgraben;"Graben vor der Bastion St. Florentius der ehemaligen Festung Bonn.";1890-09-05;
4310;Bahnhofstraße;"Nach dem 1878-1880 erbauten und im Jahre 1978 abgerissenen Duisdorfer Bahnhof an der Bundesbahnstrecke Bonn-Euskirchen.";1900-11-12;
4359;Ursulastraße;;1972-12-19;
2163;Konstantinstraße;"Konstantin (gestorben 337), römischer Kaiser 306-337, beendete die Christenverfolgung.";1977-03-24;1978-01-01
1521;"An der Margarethenkirche";"Nach dem im 12. Jahrhundert von den Zisterzienserinnen gegründeten Margarethenkloster.";1974-10-22;1978-01-01
1237;Fraunhoferstraße;"Josef Fraunhofer (1787-1826), Physiker, Professor an der Universität in München.";1961-04-20;
3270;Julius-von-Haast-Straße;"Sir Julius von Haast, 1822-1887, Deutscher Geologe, bedeutender Naturforscher und Professor des Fachbereichs Geologie am Canterbury College in Neuseeland. Er wurde in Bonn geboren und lebte dort bis zu seinem 24. Lebensjahr; später nahm er die britische Staatsbürgerschaft an. Er wurde vom Kaiser von Österreich und der britischen Königin in den Adelsstand erhoben.";2016-06-01;
3147;Ewigstraße;"Fritz und Wilhelm Ewig aus Bonn stellten 1912 das Land für diese Straße zur Verfügung.";;
3384;Marquartstraße;"Ludwig Clamor Marquart (1804-1881), Apotheker und Unternehmer mit Fabriken in Bonn und Beuel.";1977-03-24;1978-01-01
3812;Bernhardstraße;"Bernhard Schmitz (1822-1904), Bürgermeister von Oberkassel 1850-1894.";1896-11-30;
3100;Clemensstraße;"Der hl. Clemens, dritter Nachfolger des Apostels Petrus als Papst, einer der beiden Pfarrpatrone von Schwarz-Rheindorf.";;
3745;"Hangelarer Straße";"Hangelar ist ein Ortsteil der Stadt St. Augustin, östlich von Bonn.";;
3097;Clara-Schumann-Weg;"Clara Schumann (1819-1896), geb. Wieck, Komponistin und Pianistin, verheiratet mit Robert Schumann, Grab auf dem Alten Friedhof in Bonn.";2006-01-25;
3295;Konrad-Adenauer-Platz;"Konrad Adenauer (1876-1967), Politiker, Oberbürgermeister in Köln 1917-1933, erster deutscher Bundeskanzler 1949-1963.";1967-04-26;
1826;Tempelstraße;"Benannt nach der neuen Synagoge (eingeweiht 1959); die alte Tempelstraße lag in der Innenstadt.";1974-10-22;1978-01-01
2176;Heinrich-von-Stephan-Straße;"Heinrich von Stephan (1831-1897), Generalpostmeister, Staatssekretär des Reichspostamtes.";1986-09-30;
3767;Hölzebergstraße;Flurname.;1970-07-08;
2266;Maidenheadstraße;"Maidenhead, englische Partnerstadt von Bad Godesberg.";1960-06-13;
2033;"Am Dinaswerk";"Rheinische Chamotte- und Dinaswerke AG, seit 1860 (Ziegelei) in Mehlem bestehendes Industrieunternehmen.";1999-11-18;
4469;Rödderstraße;"Zum Andenken an die Familie Rödder, welche der Gemeinde ihr gesamtes Grundeigentum vererbt hatte.";1950-12-04;
1622;"Pariser Straße";"Paris, Hauptstadt von Frankreich.";1966-05-05;
4014;Falkenweg;;;
1115;Brahmsstraße;"Johannes Brahms (1833-1897), Komponist.";1953-02-05;
1248;Frongasse;"Hier befand sich der Fronhof des Kurfürsten.";;
3731;Gartenweg;;1961-05-25;
1026;"Am Eichkamp";"Markante Eichengruppe.";1959-07-02;
2016;"Am Fronhof";"Nach dem früher dort befindlichen Fronhof des Kanonissenstifts Essen.";1968-09-04;
4714;Frechengasse;;1863-09-15;
3425;"Pützchens Chaussee";"Pützchen, Ortstteil von Bonn.";;
3162;Finkenbergstraße;"Flurname. Der Finkenberg wies früher viele Weingärten auf, die in der zweiten Hälfte des 19. Jahrhunderts zum größten Teil Opfer der Basaltbrüche wurden.";;
3047;"Auf der Steinkaule";Flurname.;1987-09-29;
3734;Hardtweg;"Hardt bezeichnet einen bewaldeten Hang bzw. Anhöhe.";;
4236;Josef-Kuth-Straße;"Josef Kuth (1878-1931), Landwirt und Gemeindevorsteher 1921-1930.";1978-10-19;
4759;Eislebenstraße;"Eisleben, mitteldeutschen Stadt (Geburtsstadt Martin Luthers).";1979-02-15;
2446;Wendelstadtallee;"Hermann Wendelstadt (1862-1928), Mediziner, Professor an der Universität Bonn, verkaufte 1920 die Redoute an die Stadt Bad Godesberg.";1930-07-29;
1147;Clemens-August-Platz;"Clemens August von Wittelsbach (1700-1761), Kurfürst und Erzbischof von Köln 1723-1761.";1908-09-18;1908-09-24
1754;Heinz-Stelling-Weg;"Heinz Stelling (1905-1984), Bonner Bürgermeister 1951-1956, gründete 1950 den Hallenradsportverein.";1996-12-17;
2329;"Pützfelder Weg";"Flurname. Pütz bezeichnet einen Brunnen.";1882-02-07;
1102;Bischofsplatz;"Vis-a-vis dem erzbischöflichen Hof (Universitätsgebäude) gelegen.";1973-04-17;1973-05-29
1226;F.-A.-Schmidt-Weg;"Ferdinand August Schmidt (1852-1929), Förderer der Jugendpflege in Bonn, Ehrenbürger der Stadt Bonn 1926.";1958-11-06;
4215;"Karlsbader Straße";"Karlsbad, Stadt in Böhmen; berühmter Badeort, heute Karlovy Vary in der Tschechischen Republik";1964-03-19;
2160;Haselnußweg;;1964-06-09;
3076;Buchenweg;"Die in der Nähe vorkommenden Flurbezeichnungen Im Heisterbusch, Am Heisterbungert, Im Heisterfeld könnten die Namensgebung beeinflusst haben. Heister bedeutet junge Buche.";1955-04-18;
3351;Modestusstraße;"Modestus Jerusalem, Prior des Karmeliter-Klosters in Pützchen bis zur Säkularisation 1803.";1968-08-28;
